	first	answer	prediction	bert	bleu
27	第十五条　　３　公務員の選挙については、成年	者による普通選挙を保障する。	国，民，に，対し，、，平，等，な，権，利，を，保，障，す，る，。	0.5383809804916382	1.5784309053930103
28	第十五条　　４　すべて選挙における投票の秘密	は、これを侵してはならない。	は，、，厳，守，さ，れ，る，も，の，と，す，る，。	0.5915799736976624	1.9822566267103439
29	第十五条　　４　選挙人は、その選択に関し公的	にも私的にも責任を問はれない。	職，責，を，負，わ，ね，ば，な，ら，な，い，。	0.5716636180877686	1.958224832501124
30	第十六条　　１　何人も、損害の救済、公務員の罷免、法律、命令又は規則の制定、廃止又は改正その他の事項に関	し、平穏に請願する権利を有し、何人も、かかる請願をしたためにいかなる差別待遇も受けない。	し，て，、，無，差，別，に，差，別，を，な，さ，ぬ，よ，う，に，す，る，こ，と，を，原，則，と，す，る，。	0.5796669721603394	1.1169266878355417
31	第十七条　　１　何人も、公務員の不法行為により、損害を受けたときは、法律の定め	るところにより、国又は公共団体に、その賠償を求めることができる。	る，と，こ，ろ，に，よ，り，、，損，害，賠，償，を，求，め，る，権，利，を，有，す，る，。	0.5565952062606812	1.2157709822493183
32	第十八条　　１　何人も、いかなる奴	隷的拘束も受けない。	役，や，職，権，を，も，っ，て，、，差，別，の，基，礎，と，な，る，権，利，を，侵，害，す，る，こと，は，で，き，な，い，。	0.4696001410484314	0.7067604405306844
33	第十八条　　１　又、犯罪に因る処罰の場合を除いては、	その意に反する苦役に服させられない。	天，皇，は，、，追，究，す，る，権，利，を，有，し，な，い，。	0.5163716077804565	1.199348129252962
34	第十九条　　１　思想及び良心の自由は、	これを侵してはならない。	原，則，と，し，て，保，証，さ，れ，る，。	0.5143963694572449	2.159701133933343
35	第二十条　　１　信教の自由は、何人に対	してもこれを保障する。	し，て，も，、，保，証，さ，れ，る，。	0.5609363317489624	2.8629993657668873
36	第二十条　　１　いかなる宗教団体も、国から特権を受け、	又は政治上の権力を行使してはならない。	ま，た，、，国，家，上，の特権，を，与，へ，る，こと，は，許，さ，れ，な，い，。	0.5375329256057739	1.4491339833989647
37	第二十条　　２　何人も、宗教上の行為、祝典、儀式又	は行事に参加することを強制されない。	は，そ，の，他，の儀，式，を，、，自由，に，行，え，る，権，利，を，有，す，る，。	0.5371671915054321	1.2992493989257516
38	第二十条　　３　国及びその機関は、宗教教育その他い	かなる宗教的活動もしてはならない。	か，な，る，教，育，の，自，由，を，保，障，し，、，政，府，は、こ，れ，を，指，導，し，な，け，れ，ば，な，ら，な，い，。	0.47287485003471375	0.8404845444815474
39	第二十一条　　１　集会、結社及び言論、出版その他一	切の表現の自由は、これを保障する。	切，の，自，由，を，保，障，す，る，。，特，に，、，偏，見，及，び，差，別，を，す，る，行，為，は，、，法，律，で，そ，の，防，止，を，図，る，。	0.525425910949707	0.8044083687652224
40	第二十一条　　２　検閲は、これを	してはならない。	厳，格，に，禁，じ，る，。	0.6055585145950317	3.0890553181566975
41	第二十一条　　２　通信の秘密は、これ	を侵してはならない。	を，取，り，締，ま，る，こ，と，に，よ，り，、，国，民，の，生，命，、，身，体，、，財，産，及，び，名，誉，を，保，護，す，る，こ，と，を，目，的，と，し，て，保，護，さ，れ，る，。	0.4548606872558594	0.5199315540229602
42	第二十二条　　１　何人も、公共の福祉に反しない限り、居	住、移転及び職業選択の自由を有する。	所，の，自，由，を，有，し，、，住，民，登，録，を，受，ける，権，利，を，有，す，る，。	0.5908082127571106	1.2744039505750158
43	第二十二条　　２　何人も、外国に移住し、又は国	籍を離脱する自由を侵されない。	外，に，在，留，し，て，い，る，時，は，、，外，国，の法，律，に，従，う，。	0.5015403032302856	0.969094302009921
44	第二十三条　　１　学問の自由は、	これを保障する。	保，護，さ，れ，る，。，人，民，は、，自，分，の，思，想，を，自，由，に，表，現，し，、，諸，学，問，の，自，由，な，発，展，を，妨，げ，な，い，。	0.46090516448020935	0.5799975368190927
45	第二十四条　　１　婚姻は、両性の合意のみに基いて成立し、夫婦が同等の権利を有する	ことを基本として、相互の協力により、維持されなければならない。	こ，と，を，原，則，と，し，、，公，的，な，保，護，を，受，け，る，。	0.5355010032653809	1.5790460212418518
46	第二十四条　　２　配偶者の選択、財産権、相続、住居の選定、離婚並びに婚姻及び家族に関するその他の事項に	関しては、法律は、個人の尊厳と両性の本質的平等に立脚して、制定されなければならない。	つ，い，て，は，、，法，律，で，規，定，す，る，。	0.5504467487335205	1.8151287907717766
47	第二十五条　　１　すべて国民は、健康で文化的な最	低限度の生活を営む権利を有する。	星，の，生，活，を，送，る，権，利，を，有，す，る，。	0.5444107055664062	1.962672844874697
48	第二十五条　　２　国は、すべての生活部面について、社会福祉、社会保障	及び公衆衛生の向上及び増進に努めなければならない。	を，推，進，し，、，そ，の，民，衆，の生活，の向上，を，図，る，と，と，も，に，、，自，由，と，平，等，の，原，則，に，基，づ，き、，公，正，な，社，会，を，目，指，し，て，努，力，す，る，。	0.4683910608291626	0.9091436205327886
49	第二十六条　　１　すべて国民は、法律の定めるところにより、その能	力に応じて、ひとしく教育を受ける権利を有する。	力，を，行，使，し，、，公，務，員，と，し，て，公，に，任，せ，ら，れ，た，職，務，を，遂，行，す，る，義，務，を，負，う，。	0.5189207792282104	0.935246702041104
50	第二十六条　　２　すべて国民は、法律の定めるところにより、その	保護する子女に普通教育を受けさせる義務を負ふ。	身，分，の，表，現，を，妨，げ，ら，れ，な，い，。	0.536108136177063	1.7911710595643588
51	第二十六条　　２　義務教育は、こ	れを無償とする。	れ，を，推，進，す，る，た，め，、，国，民，の生活，水，準，の，向，上，を，図，る，と，とも，に，、，健，全，な，育，成，を，在，す，る，よ，う，努，め，る，。	0.46954345703125	0.6452284396459631
52	第二十七条　　１　すべて国民は、勤労の権	利を有し、義務を負ふ。	利，を，平，等，に，享，受，す，る，権，利，を，有，す，る，。	0.6053948402404785	1.696134390396339
53	第二十七条　　２　賃金、就業時間、休息その他の勤労条件	に関する基準は、法律でこれを定める。	は，、，法，律，で，定，め，る，と，こ，ろ，に，よ，り，、，こ，れ，ら，を，保，護，す，る，。	0.5026657581329346	1.2165013609501771
54	第二十七条　　３　児童は、これを酷	使してはならない。	使，わ，せ，る，こ，と，を，禁，じ，ら，れ，る，。	0.54070645570755	1.7911710595643588
55	第二十八条　　１　勤労者の団結する権利及び団体交渉その他	の団体行動をする権利は、これを保障する。	勤，労，者，の，組，織，及，び，行，動，に，関，す，る，一，切，の法，律，は，、，こ，れ，を，保，護，す，る，。	0.5370744466781616	0.9702695924258076
56	第二十九条　　１　財産権は、これを	侵してはならない。	保，護，す，る，。	0.6260370016098022	4.767707020457095
57	第二十九条　　２　財産権の内容は、公共の福祉に適合	するやうに、法律でこれを定める。	す，る，よ，う，に，、，法，律，定，め，る，と，こ，ろ，に，よ，り，、，政，府，が，定，め，る，。	0.5275862812995911	0.9798555761147508
58	第二十九条　　３　私有財産は、正当な補償の下に、これ	を公共のために用ひることができる。	を，取，り，除，く，こ，と，を，認，め，る，。，政，府，は、，取，り，除，く，と，共，に，、，正，当，な，補，償，を，行，う，こ，と，を，原，則，と，す，る，。	0.4639852046966553	0.5928020797798582
59	第三十条　　１　国民は、法律の定めるところ	により、納税の義務を負ふ。	に，よ，り，、，自，由，且，つ，平，等，に，参，加，し，、，行，動，す，る，権，利，を，有，す，る，。	0.5342068672180176	1.0103588033775688
60	第三十一条　　１　何人も、法律の定める手続によらなければ、その生命若	しくは自由を奪はれ、又はその他の刑罰を科せられない。	し，い，自，由，、，権，利，、，義，務，を，妨，げ，る，こ，と，は，で，き，な，い，。	0.5636767745018005	1.205256842736819
61	第三十二条　　１　何人も、裁判所において裁判	を受ける権利を奪はれない。	に，定，め，ら，れ，た，正，当，な，程，度，で，、，平，等，に，受，け，る，権，利，を，有，す，る，。	0.4941655695438385	0.9402448118597484
62	第三十三条　　１　何人も、現行犯として逮捕される場合を除いては、権限を有する司法官憲が発	し、且つ理由となつてゐる犯罪を明示する令状によらなければ、逮捕されない。	せ，る，令，状，に，よ，り，、，不，当，な，拘，束，を，受，け，る，こ，と，は，で，き，な，い，。	0.6000518798828125	1.1133308819227488
63	第三十四条　　１　何人も、理由を直ちに告げられ、且つ、直ちに弁護人に依	頼する権利を与へられなければ、抑留又は拘禁されない。	り、、，自，由，に，弁，護，人，を，召，し，、，又，、，弁，護，人，を，設，定，し，な，さ，い，と，い，う，権利を有する。	0.5613139271736145	1.6474108593061365
64	第三十四条　　１　又、何人も、正当な理由がなければ、拘禁されず、要求があれば、その理由は	、直ちに本人及びその弁護人の出席する公開の法廷で示されなければならない。	即，座，に，示，さ，れ，な，け，れ，ば，な，ら，な，い，。	0.5390893816947937	1.6934096677198087
65	第三十五条　　１　何人も、その住居、書類及び所持品について、侵入、捜索及び押収を受けることのない権利は、第三十三条の場合を	除いては、正当な理由に基いて発せられ、且つ捜索する場所及び押収する物を明示する令状がなければ、侵されない。	除，く，と，し，て，、，保，護，さ，れ，る，。	0.5579781532287598	1.5076355333151612
66	第三十五条　　２　捜索又は押収は、権限を有する司法官憲	が発する各別の令状により、これを行ふ。	法，に，よ，り，、，法，律，に，定，め，る，手，続，き，に，従，っ，て，行，な，わ，れ，る，。	0.5340967774391174	1.022951633574269
67	第三十六条　　１　公務員による拷問及び残虐な	刑罰は、絶対にこれを禁ずる。	処，分，、，又，は，そ，の，お，そ，れ，の，あ，る，行，為，は，、，法，律，で，禁，止，さ，れ，る，。	0.5258592963218689	0.9402448118597484
68	第三十七条　　１　すべて刑事事件においては、被告人は、公平な	裁判所の迅速な公開裁判を受ける権利を有する。	審，判，を，受，け，る，権，利，を，有，し，、，そ，の，保，護，を，受，け，る，。	0.5160161852836609	1.2663302792223932
69	第三十七条　　２　刑事被告人は、すべての証人に対して審問する機会を充分に与へられ、	又、公費で自己のために強制的手続により証人を求める権利を有する。	自，由，に，証，言，し，、，又，は，沈，黙，す，る，権，利，を，有，す，る，。	0.5395992398262024	1.4104555382959003
70	第三十七条　　３　刑事被告人は、いかなる場合にも、資格	を有する弁護人を依頼することができる。	の，あ，る，弁，護，人，を，任，命，し，て，、，ま，た，は，受，託，し，て，、，自，由，に，訴，え，を，請，求，す，る，権，利，を，有，す，る，。	0.4582950472831726	0.6993862149389313
71	第三十七条　　３　被告人が自らこれを依頼することが	できないときは、国でこれを附する。	出，来，な，い，場，合，、，検，察，官，又，は，裁判官，が，、，こ，れ，を，依，頼，す，る，こ，と，が，で，き，る，。	0.5228290557861328	0.9359100614362484
72	第三十八条　　１　何人も、自己に不利益	な供述を強要されない。	な，判，決，を，受，け，る，こ，と，の，な，い，権，利，を，有，す，る，。	0.5029029846191406	1.3113617852675474
73	第三十八条　　２　強制、拷問若しくは脅迫による自白又は不当に長く抑留若しく	は拘禁された後の自白は、これを証拠とすることができない。	は，他，人，に，対，し，、，侮辱，的，な，行，為，を，行，っ，た，り，、，又，は，、，虐，待，す，る，こ，と，は，、，厳，格，に，禁，止，さ，れ，る，。	0.5154407024383545	0.8332561906957716
74	第三十八条　　３　何人も、自己に不利益な唯一の証拠が本人の自白であ	る場合には、有罪とされ、又は刑罰を科せられない。	つ，て，も，、，自，己，を，無，罪，と，す，る，権，利，を，有，す，る，。	0.584752082824707	1.4899946568663818
75	第三十九条　　１　何人も、実行の時に適法であつた行為又は既に無罪と	された行為については、刑事上の責任を問はれない。	め，ら，れ，た，行，為，に，つ，い，て，、，二，度，と，同，じ，罪，に，対，し，て，懲，役，罰，を，受，け，る，こ，と，は，で，き，な，い，。	0.5046614408493042	0.8556554191145452
76	第三十九条　　１　又、同一の犯罪について、重ね	て刑事上の責任を問はれない。	て，、，懲役，刑，罰，を，科，す，る，こ，と，は，で，き，な，い，。	0.5437617301940918	1.4780822562194806
77	第四十条　　１　何人も、抑留又は拘禁された後、無罪の裁判を受けたときは、法	律の定めるところにより、国にその補償を求めることができる。	令，に，よ，り，当，然，に，償，い，を，求，め，る，権，利，を，有，す，る，。	0.5456287264823914	1.3339264902154053
78	第四十一条　　１　国会は、国権の最高機関であつ	て、国の唯一の立法機関である。	り，、，立，法，権，及，び，改，正，憲，法，を，有，し，、，政，府，を，支，配，す，る，。	0.532581627368927	0.9668670750672484
79	第四十二条　　１　国会は、衆議院及び参議院	の両議院でこれを構成する。	か，ら，な，る，。，そ，の，議員，は，、，国，民，の直接，選挙，に，よ，り，、，定，数，を，定，め，る，法律，に，よ，り，、，指，名，さ，れ，る，。	0.4814019799232483	0.679364123713465
80	第四十三条　　１　両議院は、全国民を代表する選	挙された議員でこれを組織する。	挙，、，及，び，議，員，の剰余，を，定，め，る，議，決，を，行，ふ，こ，と，に，よ，り，、，議，員，を，選，ぶ，こ，と，が，で，き，る，。	0.4986392855644226	0.7519859951367073
81	第四十三条　　２　両議院の議員の定数は	、法律でこれを定める。	、，国，会，が，定，め，る，と，こ，ろ，に，よ，り，、，変，え，ら，れ，る，こ，と，が，で，き，る，。	0.4946621358394623	0.9402448118597484
82	第四十四条　　１　両議院の議員及びその選挙人の	資格は、法律でこれを定める。	権，利，及，び，義，務，は，、，国，会，の，規，定，に，よ，る，と，こ，ろ，に，よ，る，。	0.5211989879608154	1.0700143107304574
83	第四十四条　　１　但し、人種、信条、性別、社会的身分、門地、教	育、財産又は収入によつて差別してはならない。	育，水，準，又，は，財産，に，よ，る，差，別，を，認，め，な，い，。	0.6426187753677368	1.7577459356554812
84	第四十五条　　１　衆議院議員の任期	は、四年とする。	は，、，四，年，を，定，め，る，。，衆，議，院，は，、，議，員，の，代，替，を，四，年，毎，に，行，ふ，。	0.58476722240448	1.0268160753681452
85	第四十五条　　１　但し、衆議院解散の場合には	、その期間満了前に終了する。	、，国，会，が，議，決，し，た，法，律，の定，め，る，と，こ，ろ，に，よ，り，、，天，皇，の命，令，に，よ，る，こ，と，が，あ，る，。	0.4919201731681824	0.7104889092469343
86	第四十六条　　１　参議院議員の任期は、六年とし、	三年ごとに議員の半数を改選する。	参，議，院，の，議，員，は，、，国，民，の直，接，の選，挙，に，よ，り，、，六，年，ご，と，に，選，出，さ，れ，る，。	0.4779478907585144	0.869729662980301
87	第四十七条　　１　選挙区、投票の方法その他両議院の議員の	選挙に関する事項は、法律でこれを定める。	選，定，に，関，す，る，事，項，は、，国，会，が，定，め，る，。	0.5264078378677368	2.7588924449082466
88	第四十八条　　１　何人も、同時に両議院の	議員たることはできない。	議，員，と，な，る，こ，と，を，妨，害，し，て，は，な，ら，な，い，。	0.5224139094352722	1.2557690800697192
89	第四十九条　　１　両議院の議員は、法律の定めるところに	より、国庫から相当額の歳費を受ける。	よ，り，選，ば，れ，る，。，こ，れ，ら，の，議，員，に，対，し，て，賄，賂，又，は，金，銭，を，提，供，す，る，こ，と，は，、，禁，じ，ら，れ，る，。	0.49494919180870056	0.6803508307399588
90	第五十条　　１　両議院の議員は、法律の定める場合を除いては、国会の会期中逮捕されず、会期前に	逮捕された議員は、その議院の要求があれば、会期中これを釈放しなければならない。	免，職，さ，れ，る，こ，と，は，な，い，。	0.5275346636772156	2.024173370761941
91	第五十一条　　１　両議院の議員は、議院で行つた演説、討論又	は表決について、院外で責任を問はれない。	は，、，投，票，に，よ，り，、，衆，議，院，の，議，員，が，、，国，会，の，議，決，を，行，ふ，。	0.5736796259880066	1.1133308819227488
92	第五十二条　　１　国会の常会は、毎年	一回これを召集する。	一，回，と，し，、，六，十，日，を，限，り，、，そ，の間，、，政，府，が，国，会，の，解，散，を，求，め，な，い，限，り，、，継，続，す，る，。	0.4483758211135864	0.7093090652851949
93	第五十三条　　１　内閣は、国会の臨時会の召	集を決定することができる。	集，を，求，め，る，こ，と，が，で，き，る，。	0.503672182559967	2.328734903585348
94	第五十三条　　１　いづれかの議院の総議員の四分の一以上の要求があ	れば、内閣は、その召集を決定しなければならない。	る，と，き，、，内，閣，は，、，議，院，の，賛，成，を，得，て，、，そ，の，決，定，を，行，ふ，必，要，が，あ，る，。	0.5309897661209106	0.9196271525972168
95	第五十四条　　１　衆議院が解散されたときは、解散の日から四十日以内に、衆議院議員の総選	挙を行ひ、その選挙の日から三十日以内に、国会を召集しなければならない。	挙，を，行，ふ，こ，と，と，し，、，そ，の，時，期，お，よ，び，方，法，は，、，国，会，の，法，律，で，定，め，る，。	0.5064907073974609	1.0003311539759179
96	第五十四条　　２　衆議院が解散されたときは、	参議院は、同時に閉会となる。	内閣は、その発足のために、衆議院を召集するものとする。	0.761594295501709	5.653041175801492
97	第五十四条　　２　但し、内閣は、国に緊急の必要があるときは	、参議院の緊急集会を求めることができる。	、，天，皇，そ，の，代，行，に，限，ら，ず，、，特，別，な，権，限，を，与，え，て，、，そ，の，行，為，を，認，め，る，こ，と，が，で，き，る，。	0.4827876091003418	0.7395108857228917
98	第五十四条　　３　前項但書の緊急集会において採られた措置は、臨時のものであつて、次の	国会開会の後十日以内に、衆議院の同意がない場合には、その効力を失ふ。	国，会，の，開，会，ま，で，は，有，効，と，し，、，此，れ，以，前，に，同，様，の措置，を，採，る，こ，と，は，で，き，な，い，。	0.5229368209838867	0.9202779248509753
99	第五十五条　　１　両議院は、各々その議員の資	格に関する争訟を裁判する。	格，及，び，行，為，に，つ，い，て，責，任，を，問，ふ，こ，と，が，で，き，る，。	0.5007964372634888	1.2663302792223932
100	第五十五条　　１　但し、議員の議席を失はせるには、出席議員の	三分の二以上の多数による議決を必要とする。	三，分，の，二，以，上，の，賛，成，を，得，な，け，れ，ば，な，ら，な，い，。	0.5177236795425415	1.5342333164810604
101	第五十六条　　１　両議院は、各々その総議員の三分の一以上の出席	がなければ、議事を開き議決することができない。	と，、，多，数，を，有，し，て，、，議，決，を，行，ひ，、，そ，の決，議，に，よ，り，憲，法，を，改正，す，る，こ，と，が，でき，る，。	0.5284090042114258	0.8197908254648182
102	第五十六条　　２　両議院の議事は、この憲法に特別の定のある場合を除いては、出席議員	の過半数でこれを決し、可否同数のときは、議長の決するところによる。	の，三，分，之，二，以，上，の，賛，成，で，行，な，ふ，と，こ，ろ，に，限，ら，れ，る，。	0.5072756409645081	1.2157709822493183
103	第五十七条　　１　両議院の会議は	、公開とする。	、，定，め，ら，れ，た，規，則，に，よ，り，開，催，す，る，。	0.5381560325622559	1.4262733286728257
104	第五十七条　　１　但し、出席議員の三分の二以上の多数で議	決したときは、秘密会を開くことができる。	決，し，、，及，び，天，皇，に，よ，り，承，認，さ，れ，た，場，合，を，除，き，、，全，国，的，な，衆，議，院，の，解，散，は，で，き，な，い，。	0.4909190535545349	0.7395108857228917
105	第五十七条　　２　両議院は、各々その会議の記録を保存し、秘密会の記録の中で特に秘密を要する	と認められるもの以外は、これを公表し、且つ一般に頒布しなければならない。	も，の，に，つ，い，て，は，、，更，に，厳，秘，を，守，る，。	0.5608833432197571	1.9508315563589549
106	第五十七条　　３　出席議員の五分の一以上の要求があれば、各議員の	表決は、これを会議録に記載しなければならない。	投，票，を，行，う，こ，と，を，議，長，は，義，務，と，し，て，、，公，正，な，方，法，に，よ，り，、，行，う，。	0.5062793493270874	0.9972131254285401
107	第五十八条　　１　両議院は、各々その議長	その他の役員を選任する。	の指名により、国会憲章を定める特別措置法を制定する。	0.6832419037818909	5.816635421147515
108	第五十八条　　２　両議院は、各々その会議その他の手続及び内部の規律に関する規則	を定め、又、院内の秩序をみだした議員を懲罰することができる。	を，制，定，す，る，こ，と，が，で，き，る，。	0.5508229732513428	2.1671320168371846
109	第五十八条　　２　但し、議員を除名するには、出席議員の三	分の二以上の多数による議決を必要とする。	分，の，二，以，上，の，賛，成，が，必，要，と，な，る，。	0.5609688758850098	2.01381482546679
110	第五十九条　　１　法律案は、この憲法に特別の定のある場合を	除いては、両議院で可決したとき法律となる。	除，く，と，し，て，、，国，会，の，議，決，に，よ，り，、，成，立，す，る，。	0.5345780253410339	1.4104555382959003
111	第五十九条　　２　衆議院で可決し、参議院でこれと異なつた議決をした法律案は、衆議院	で出席議員の三分の二以上の多数で再び可決したときは、法律となる。	の，議，決，を，参，議，院，が，採，択，し，た，場，合，に，限，り，、，衆，議，院，の，議，決，を，採，択，す，る，。	0.5274173617362976	0.9625140930473534
112	第五十九条　　３　前項の規定は、法律の定めるところにより、衆議院が	、両議院の協議会を開くことを求めることを妨げない。	、，憲，法，改，正，の，提，案，を，行，ふ，こ，と，を，認，め，る，。	0.5224197506904602	1.5790460212418518
113	第五十九条　　４　参議院が、衆議院の可決した法律案を受け取つた後、国会休会中の期間を除いて六十日以内に	、議決しないときは、衆議院は、参議院がその法律案を否決したものとみなすことができる。	否，決，し，た，場，合，は，、，そ，の，可，決，を，拒，絶，し，た，と，み，な，す，。	0.5406937003135681	1.4333000127883408
114	第六十条　　１　予算は、さきに衆議院に	提出しなければならない。	提，案，し，、，衆，議，院，の，議，決，を，経，て，、，参，議，院，の，議，決，を，得，て，、，天，皇，の承，認，を，得，な，け，れ，ば，な，ら，な，い，。	0.45079830288887024	0.6083034426101083
115	第六十条　　２　予算について、参議院で衆議院と異なつた議決をした場合に、法律の定めるところにより、両議院の協議会を開いても意見が一致しないとき、又は	参議院が、衆議院の可決した予算を受け取つた後、国会休会中の期間を除いて三十日以内に、議決しないときは、衆議院の議決を国会の議決とする。	衆，議，院，が，衆，議，院，の，議，決，を，改，め，る，と，定，め，る，と，き，は，、，内，閣，が，答，申，を，行，ひ，、，天，皇，が，特，に，定，め，る，と，こ，ろ，に，よ，り、，国，事，を，行，ふ，。	0.5387494564056396	0.6805308701403892
